authority_text,nrows,removed,added
sec 7102 of the Affordable Care Act,16,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec 104(b)(3),16,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 311(d)(2),16,"('act_relative', None, None, None)","('other', None, None, None)"
SDWA 1412(b),15,"('act_relative', None, None, None)","('other', None, None, None)"
"secs. 474(f), 479 and 1102 of the Social Security Act",15,"('act_relative', None, None, None)","('other', None, None, None)"
Agriculture Improvement Act of 2018,15,"('act_relative', None, None, None)","('other', None, None, None)"
CWA 304(h),15,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 412(a)(9) of the Immigration and Nationality Act,15,"('act_relative', None, None, None)","('other', None, None, None)"
sec. 1101(c) of the Violence Against Women Reauthorization Act of 2013,15,"('act_relative', None, None, None)","('other', None, None, None)"
The Family Smoking Prevention and Tobacco Control Act,15,"('act_relative', None, None, None)","('other', None, None, None)"
Clean Air Act 211(o),14,"('act_relative', None, None, None)","('other', None, None, None)"
"International Security and Development Cooperation Act of 1981, sec. 601",14,"('act_relative', None, None, None)","('other', None, None, None)"
secs. 321 and 325 of the Energy Independence and Security Act of 2007 (EISA),14,"('act_relative', None, None, None)","('other', None, None, None)"
INA 214(g),14,"('act_relative', None, None, None)","('other', None, None, None)"
"Sec 13(b)(21), FLSA, as amended",14,"('act_relative', None, None, None)","('other', None, None, None)"
"secs 905(j) and 910(a) of the Federal Food, Drug, and Cosmetic Act",14,"('act_relative', None, None, None)","('other', None, None, None)"
"Sec 13(a)(15), Fair Labor Standards Act (FLSA), as amended",14,"('act_relative', None, None, None)","('other', None, None, None)"
"12838, and 12905(h)",14,"('usc', 42, '12838', None) | ('usc', 42, '12905', None)","('other', None, None, None)"
Clean Water Act sec 306,14,"('act_relative', None, None, None)","('other', None, None, None)"
sec 1886(d) of the Social Security Act,14,"('act_relative', None, None, None)","('other', None, None, None)"
INA 101(a)(15)(h),14,"('act_relative', None, None, None)","('other', None, None, None)"
"Bipartisan Budget Act of 2015, sec. 824",14,"('act_relative', None, None, None)","('other', None, None, None)"
Sec 521 of BIPA,14,"('act_relative', None, None, None)","('other', None, None, None)"
Hazardous Materials Transportation Authorization Act of 1994,14,"('act_relative', None, None, None)","('other', None, None, None)"
ERISA sec. 4022,13,"('act_relative', None, None, None)","('other', None, None, None)"
