rin,majority_sig,minority_sig,reason,majority_n,minority_n,n_editions,shape,contiguous
0910-AC32,usc:21:331,usc:21:334,usc.field1.edit1,10,1,11,minority-suffix,true
0910-AC32,usc:21:371,usc:21:361,usc.field1.edit1,10,1,11,minority-suffix,true
0910-AC32,usc:21:374,usc:21:334,usc.field1.edit1,10,1,11,minority-suffix,true
0910-AC34,usc:21:351,usc:21:301,usc.field1.edit1,5,3,8,minority-prefix,true
0910-AC34,usc:21:371,usc:21:301,usc.field1.edit1,5,3,8,minority-prefix,true
0910-AC34,usc:21:381,usc:21:301,usc.field1.edit1,5,3,8,minority-prefix,true
0910-AC35,usc:21:355b,usc:21:355a,usc.field1.edit1,11,3,14,minority-prefix,true
0910-AC48,usc:21:321,usc:21:3321,usc.field1.leading-digit,2,1,3,minority-prefix,true
0910-AF26,usc:21:360d,usc:21:360j,usc.field1.edit1,12,4,17,minority-prefix,true
0910-AF33,usc:21:321p,usc:21:321,usc.field1.trailing-char,24,1,25,minority-suffix,true
0910-AF33,usc:21:331,usc:21:321,usc.field1.edit1,20,1,25,minority-suffix,true
0910-AF38,usc:21:321,usc:21:361,usc.field1.edit1,5,1,22,minority-prefix,true
0910-AF38,usc:21:321p,usc:21:321,usc.field1.trailing-char,17,5,22,minority-suffix,true
0910-AF43,usc:21:321p,usc:21:321,usc.field1.trailing-char,25,1,26,minority-suffix,true
0910-AF43,usc:21:371,usc:21:321,usc.field1.edit1,23,1,26,minority-suffix,true
0910-AF46,usc:21:348,usc:21:349,usc.field1.edit1,7,4,11,minority-prefix,true
0910-AF61,usc:21:342,usc:21:362,usc.field1.edit1,15,3,18,minority-prefix,true
0910-AF61,usc:21:342,usc:21:352,usc.field1.edit1,15,3,18,minority-prefix,true
0910-AF82,usc:21:351,usc:21:371,usc.field1.edit1,5,4,22,minority-suffix,true
0910-AF82,usc:21:371a,usc:21:371,usc.field1.trailing-char,18,4,22,minority-suffix,true
0910-AF86,usc:21:360,usc:21:360e,usc.field1.trailing-char,14,1,15,reverted-blip,true
0910-AF86,usc:21:360,usc:21:360c,usc.field1.trailing-char,14,1,15,reverted-blip,true
0910-AF86,usc:21:360j,usc:21:360e,usc.field1.edit1,14,1,15,reverted-blip,true
0910-AF86,usc:21:360j,usc:21:360c,usc.field1.edit1,14,1,15,reverted-blip,true
0910-AF96,usc:21:356-356c,usc:21:356-356b,usc.field1.edit1,9,2,14,minority-prefix,true
0910-AG07,usc:21:360ccc,usc:21:360cc,usc.field1.trailing-char,10,1,11,minority-prefix,true
0910-AG10,usc:21:350c,usc:21:350e,usc.field1.edit1,6,4,15,minority-prefix,true
0910-AG10,usc:21:350d,usc:21:350e,usc.field1.edit1,7,4,15,minority-prefix,true
0910-AG10,usc:21:350g,usc:21:350e,usc.field1.edit1,7,4,15,minority-prefix,true
0910-AG26,usc:21:321,usc:21:821,usc.field1.edit1,6,1,10,minority-prefix,true
0910-AG31,usc:21:351,usc:21:321,usc.field1.edit1,3,1,4,minority-prefix,true
0910-AG31,usc:21:371,usc:21:321,usc.field1.edit1,3,1,4,minority-prefix,true
0910-AG87,usc:21:351-353,usc:21:351-352,usc.field1.edit1,3,1,4,minority-suffix,true
0910-AG93,usc:21:355c,usc:21:355b,usc.field1.edit1,11,4,15,minority-prefix,true
0910-AH03,usc:21:360c,usc:21:360,usc.field1.trailing-char,8,2,10,minority-prefix,true
0910-AH16,usc:21:321p,usc:21:321,usc.field1.trailing-char,5,1,6,minority-suffix,true
0910-AH24,usc:21:387f,usc:21:387,usc.field1.trailing-char,8,7,15,minority-prefix,true
0910-AH37,usc:42:263,usc:42:263b,usc.field1.trailing-char,7,1,8,minority-suffix,true
0910-AH37,usc:42:263,usc:42:263a,usc.field1.trailing-char,7,1,8,minority-suffix,true
0910-AH47,usc:21:352,usc:21:372,usc.field1.edit1,2,1,7,minority-suffix,true
0910-AH47,usc:21:371,usc:21:372,usc.field1.edit1,6,1,7,minority-suffix,true
0910-AH52,usc:21:360j,usc:21:360,usc.field1.trailing-char,10,5,15,minority-prefix,true
0910-AH59,usc:21:387,usc:21:387e,usc.field1.trailing-char,16,1,17,minority-suffix,true
0910-AH59,usc:21:387,usc:21:387k,usc.field1.trailing-char,16,1,17,minority-suffix,true
0910-AH59,usc:21:387,usc:21:381,usc.field1.edit1,16,1,17,minority-suffix,true
0910-AH59,usc:21:387,usc:21:387g,usc.field1.trailing-char,16,1,17,minority-suffix,true
0910-AH59,usc:21:387,usc:21:387j,usc.field1.trailing-char,16,1,17,minority-suffix,true
0910-AH59,usc:21:387,usc:21:387i,usc.field1.trailing-char,16,1,17,minority-suffix,true
0910-AH59,usc:21:387,usc:21:387c,usc.field1.trailing-char,16,1,17,minority-suffix,true
0910-AH90,usc:21:387,usc:21:387g,usc.field1.trailing-char,4,3,7,minority-suffix,true
0910-AH90,usc:21:387,usc:21:387b,usc.field1.trailing-char,4,3,7,minority-suffix,true
0910-AH91,usc:21:387f,usc:21:386f,usc.field1.edit1,16,1,17,minority-prefix,true
0910-AI03,usc:21:343,usc:21:349,usc.field1.edit1,6,3,9,minority-prefix,true
0910-AI07,usc:21:360c-360e,usc:21:360c-360f,usc.field1.edit1,14,2,16,minority-prefix,true
0910-AI08,usc:21:360c-360e,usc:21:360c-360f,usc.field1.edit1,13,2,16,minority-prefix,true
0910-AI08,usc:21:360h-360j,usc:21:360e-360j,usc.field1.edit1,2,1,16,minority-suffix,true
0910-AI08,usc:21:360j,usc:21:360c,usc.field1.edit1,13,1,16,minority-prefix,true
0910-AI10,usc:21:360,usc:21:360i,usc.field1.trailing-char,2,1,8,minority-suffix,true
0910-AI10,usc:21:360e,usc:21:360,usc.field1.trailing-char,6,2,8,minority-prefix,true
0910-AI10,usc:21:360j,usc:21:360i,usc.field1.edit1,5,1,8,minority-prefix,true
0910-AI10,usc:21:360j,usc:21:360,usc.field1.trailing-char,5,2,8,minority-prefix,true
0910-AI10,usc:21:371,usc:21:381,usc.field1.edit1,6,2,8,minority-prefix,true
0910-AI10,usc:21:371,usc:21:379,usc.field1.edit1,6,2,8,minority-prefix,true
0910-AI11,usc:42:262,usc:42:261,usc.field1.edit1,11,2,13,minority-prefix,true
0910-AI12,usc:21:360c,usc:21:360,usc.field1.trailing-char,8,7,15,minority-prefix,true
0910-AI15,usc:21:379e,usc:21:379,usc.field1.trailing-char,9,2,11,minority-prefix,true
0910-AI16,usc:21:379e,usc:21:779e,usc.field1.edit1,7,1,8,minority-prefix,true
0910-AI21,usc:21:332-334,usc:21:331-334,usc.field1.edit1,5,4,9,minority-suffix,true
0910-AI29,pl:112-29,pl:12-29,pl.field0.leading-digit,7,5,12,minority-prefix,true
0910-AI43,usc:21:360b,usc:21:306b,usc.field1.transpose,12,1,13,minority-prefix,true
0910-AI65,usc:21:346a,usc:21:3346a,usc.field1.leading-digit,8,1,9,minority-prefix,true
0910-AI77,usc:21:371a,usc:21:371,usc.field1.trailing-char,5,2,7,minority-suffix,true
0920-AA07,eo:13179,eo:13129,eo.field0.edit1,4,1,5,minority-prefix,true
0920-AA12,usc:42:268,usc:42:248,usc.field1.edit1,5,3,8,minority-prefix,true
0930-AA14,usc:42:300xx-23,usc:42:300x-23,usc.field1.edit1,7,1,8,minority-suffix,true
0938-AB50,usc:42:1395g,usc:42:1995g,usc.field1.edit1,6,1,11,minority-prefix,true
0938-AB50,usc:42:1395g,usc:42:1395w,usc.field1.edit1,6,3,11,minority-prefix,true
0938-AB50,usc:42:1395g,usc:42:1395u,usc.field1.edit1,6,3,11,minority-prefix,true
0938-AB50,usc:42:1395g,usc:42:1395m,usc.field1.edit1,6,3,11,minority-prefix,true
0938-AB50,usc:42:1395g,usc:42:1395y,usc.field1.edit1,6,3,11,minority-prefix,true
0938-AB50,usc:42:1395l,usc:42:1395u,usc.field1.edit1,8,3,11,reverted-blip,true
0938-AB50,usc:42:1395l,usc:42:1395w,usc.field1.edit1,8,3,11,reverted-blip,true
0938-AB50,usc:42:1395l,usc:42:1395y,usc.field1.edit1,8,3,11,reverted-blip,true
