usc_title,edition_year,usc_section,rin,bucket
18,2002,5006,1120-AA85,4-genuine-era-mismatch
18,2002,4161,1120-AA85,4-genuine-era-mismatch
18,2002,4201,1120-AA85,4-genuine-era-mismatch
18,2002,4161,1120-AA86,4-genuine-era-mismatch
18,2002,5006,1120-AA86,4-genuine-era-mismatch
18,2002,5006,1120-AA88,4-genuine-era-mismatch
18,2002,5006,1120-AA90,4-genuine-era-mismatch
18,2002,5006,1120-AA92,4-genuine-era-mismatch
18,2002,4251,1120-AA95,4-genuine-era-mismatch
18,2002,5006,1120-AA95,4-genuine-era-mismatch
18,2002,5006,1120-AA98,4-genuine-era-mismatch
18,2002,4161,1120-AA99,4-genuine-era-mismatch
18,2002,4201,1120-AA99,4-genuine-era-mismatch
18,2002,5006,1120-AA99,4-genuine-era-mismatch
18,2002,5006,1120-AB04,4-genuine-era-mismatch
18,2002,4161,1120-AB05,4-genuine-era-mismatch
18,2002,5006,1120-AB05,4-genuine-era-mismatch
18,2002,5006,1120-AB06,4-genuine-era-mismatch
18,2002,4161,1120-AA79,4-genuine-era-mismatch
18,2002,5006,1120-AA79,4-genuine-era-mismatch
18,2002,5006,1120-AA83,4-genuine-era-mismatch
18,2002,5006,1120-AB02,4-genuine-era-mismatch
40,2002,333,1218-AB47,4-genuine-era-mismatch
40,2002,333,1218-AB62,4-genuine-era-mismatch
40,2002,333,1218-AB89,4-genuine-era-mismatch
40,2002,333,1218-AB67,4-genuine-era-mismatch
40,2002,333,1218-AB77,4-genuine-era-mismatch
40,2002,333,1218-AC01,4-genuine-era-mismatch
40,2002,333,1218-AB88,4-genuine-era-mismatch
40,2002,486,1291-AA34,4-genuine-era-mismatch
40,2002,486,1291-AA33,4-genuine-era-mismatch
49,2002,1324,2105-AA40,4-genuine-era-mismatch
49,2002,1301,2105-AA78,4-genuine-era-mismatch
49,2002,1302,2105-AA78,4-genuine-era-mismatch
49,2002,1305,2105-AA78,4-genuine-era-mismatch
