eo_number,signing_date,title,fr_citation,provenance,source_file
12740,1990-12-29,Waiver under the Trade Act of 1974 with respect to the Soviet Union,"56 FR 355; January 4, 1991",nara-live,eo-1990.html
12741,1990-12-31,Extending the President's Education Policy Advisory Committee,"56 FR 475; January 4, 1991",nara-live,eo-1990.html
12742,1991-01-08,National security industrial responsiveness,"56 FR 1079; January 10, 1991",nara-live,eo-1991.html
12743,1991-01-18,Ordering the Ready Reserve of the Armed Forces to active duty,"56 FR 2661; January 23, 1991",nara-live,eo-1991.html
12744,1991-01-21,"Designation of Arabian Peninsula areas, airspace, and adjacent waters as a combat zone","56 FR 2663; January 23, 1991",nara-live,eo-1991.html
12745,1991-01-22,Waiver under the Trade Act of 1974 with respect to Bulgaria,"56 FR 2835; January 25, 1991",nara-live,eo-1991.html
12746,1991-01-23,Waiver under the Trade Act of 1974 with respect to Mongolia,"56 FR 2837; January 25, 1991",nara-live,eo-1991.html
12747,1991-01-25,National Nutrition Monitoring Advisory Council,"56 FR 3391; January 29, 1991",nara-live,eo-1991.html
12748,1991-02-01,Providing for Federal Pay Administration,"56 FR 4521; February 4, 1991",nara-live,eo-1991.html
12749,1991-02-04,Additions to level IV of the Executive Schedule,"56 FR 4711; February 6, 1991",nara-live,eo-1991.html
12750,1991-02-14,"Designation of Arabian Peninsula areas, airspace, and adjacent waters as the Persian Gulf Desert Shield Area","56 FR 6785; February 19, 1991",nara-live,eo-1991.html
12751,1991-02-14,Health care services for Operation Desert Storm,"56 FR 6787; February 19, 1991",nara-live,eo-1991.html
12752,1991-02-25,"Implementation of the Agricultural Trade Development and Assistance Act of 1954, as amended, and the Food for Progress Act of 1985, as amended","56 FR 8255; February 27, 1991",nara-live,eo-1991.html
12753,1991-03-08,Nuclear Cooperation With EURATOM,"56 FR 10501; March 12, 1991",nara-live,eo-1991.html
12754,1991-03-12,Establishing the Southwest Asia Service Medal,"56 FR 11055; March 15, 1991",nara-live,eo-1991.html
12755,1991-03-12,Administration of Export Controls,"56 FR 11057; March 15, 1991",nara-live,eo-1991.html
12756,1991-03-18,Continuance of the President's Drug Advisory Council,"56 FR 11903; March 20, 1991",nara-live,eo-1991.html
12757,1991-03-19,Implementation of the Enterprise for the Americas Initiative,"56 FR 12107; March 21, 1991",nara-live,eo-1991.html
12758,1991-04-05,Addition to level IV of the Executive Schedule,"56 FR 14631; April 10, 1991",nara-live,eo-1991.html
12759,1991-04-17,Federal energy management,"56 FR 16257; April 19, 1991",nara-live,eo-1991.html
12760,1991-05-02,President's Commission on Executive Exchange,"56 FR 21062; May 6, 1991",nara-live,eo-1991.html
12761,1991-05-21,Establishment of the President's Environment and Conservation Challenge Awards,"56 FR 23645; May 23, 1991",nara-live,eo-1991.html
12762,1991-06-04,Amendment relating to basic allowance for quarters,"56 FR 25993; June 6, 1991",nara-live,eo-1991.html
12763,1991-06-04,Facilitating the operation of the Advisory Commission on Conferences in Ocean Shipping,"56 FR 25994; June 6, 1991",nara-live,eo-1991.html
12764,1991-06-05,Federal Salary Council,"56 FR 26587; June 7, 1991",nara-live,eo-1991.html
